Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENI062;"'30.09.2024 08:00'";7;49;10;3;"sehr gut"
DENI062;"'30.09.2024 09:00'";7;49;10;3;"sehr gut"
DENI062;"'30.09.2024 10:00'";7;51;8;3;"sehr gut"
DENI062;"'30.09.2024 11:00'";8;57;8;3;"sehr gut"
DENI062;"'30.09.2024 12:00'";8;63;6;3;gut
DENI062;"'30.09.2024 13:00'";8;68;5;3;gut
DENI062;"'30.09.2024 14:00'";8;72;5;3;gut
DENI062;"'30.09.2024 15:00'";8;74;5;3;gut
DENI062;"'30.09.2024 16:00'";8;73;6;3;gut
DENI062;"'30.09.2024 17:00'";8;70;6;3;gut
DENI062;"'30.09.2024 18:00'";8;69;6;3;gut
DENI062;"'30.09.2024 19:00'";9;68;6;4;gut
DENI062;"'30.09.2024 20:00'";9;68;5;4;gut
DENI062;"'30.09.2024 21:00'";9;64;5;4;gut
DENI062;"'30.09.2024 22:00'";9;66;4;4;gut
DENI062;"'30.09.2024 23:00'";9;66;4;4;gut
DENI062;"'30.09.2024 24:00'";9;65;5;4;gut
DENI062;"'01.10.2024 01:00'";9;62;5;4;gut
DENI062;"'01.10.2024 02:00'";9;59;5;4;"sehr gut"
DENI062;"'01.10.2024 03:00'";9;55;6;4;"sehr gut"
DENI062;"'01.10.2024 04:00'";9;-;-;4;"sehr gut"
DENI062;"'01.10.2024 05:00'";9;46;7;4;"sehr gut"
DENI062;"'01.10.2024 06:00'";10;40;9;4;"sehr gut"
DENI062;"'01.10.2024 07:00'";9;35;11;4;"sehr gut"
DENI062;"'01.10.2024 08:00'";9;29;15;4;"sehr gut"
DENI062;"'01.10.2024 09:00'";9;30;13;4;"sehr gut"
DENI062;"'01.10.2024 10:00'";9;30;11;4;"sehr gut"
DENI062;"'01.10.2024 11:00'";9;26;13;4;"sehr gut"
DENI062;"'01.10.2024 12:00'";9;27;11;4;"sehr gut"
DENI062;"'01.10.2024 13:00'";9;28;10;4;"sehr gut"
DENI062;"'01.10.2024 14:00'";9;27;10;4;"sehr gut"
DENI062;"'01.10.2024 15:00'";9;28;8;4;"sehr gut"
DENI062;"'01.10.2024 16:00'";9;28;9;4;"sehr gut"
DENI062;"'01.10.2024 17:00'";9;26;10;5;"sehr gut"
DENI062;"'01.10.2024 18:00'";9;26;10;5;"sehr gut"
DENI062;"'01.10.2024 19:00'";8;26;11;5;"sehr gut"
DENI062;"'01.10.2024 20:00'";8;27;9;5;"sehr gut"
DENI062;"'01.10.2024 21:00'";8;29;7;5;"sehr gut"
DENI062;"'01.10.2024 22:00'";8;30;7;5;"sehr gut"
DENI062;"'01.10.2024 23:00'";9;32;6;5;"sehr gut"
DENI062;"'01.10.2024 24:00'";9;34;5;6;"sehr gut"
DENI062;"'02.10.2024 01:00'";9;39;4;6;"sehr gut"
DENI062;"'02.10.2024 02:00'";9;41;4;6;"sehr gut"
DENI062;"'02.10.2024 03:00'";10;41;4;7;"sehr gut"
DENI062;"'02.10.2024 04:00'";10;45;4;7;"sehr gut"
DENI062;"'02.10.2024 05:00'";10;-;-;7;"sehr gut"
DENI062;"'02.10.2024 06:00'";10;51;3;7;"sehr gut"
DENI062;"'02.10.2024 07:00'";11;52;3;8;"sehr gut"
DENI062;"'02.10.2024 08:00'";11;51;3;8;"sehr gut"
DENI062;"'02.10.2024 09:00'";11;47;4;8;"sehr gut"
DENI062;"'02.10.2024 10:00'";11;46;4;8;"sehr gut"
DENI062;"'02.10.2024 11:00'";11;50;4;8;"sehr gut"
DENI062;"'02.10.2024 12:00'";11;53;4;8;"sehr gut"
DENI062;"'02.10.2024 13:00'";11;66;2;8;gut
DENI062;"'02.10.2024 14:00'";11;67;2;8;gut
DENI062;"'02.10.2024 15:00'";11;66;3;8;gut
DENI062;"'02.10.2024 16:00'";11;71;2;7;gut
DENI062;"'02.10.2024 17:00'";10;75;3;7;gut
DENI062;"'02.10.2024 18:00'";10;76;3;7;gut
DENI062;"'02.10.2024 19:00'";10;70;3;7;gut
DENI062;"'02.10.2024 20:00'";10;67;4;7;gut
DENI062;"'02.10.2024 21:00'";10;66;4;7;gut
DENI062;"'02.10.2024 22:00'";10;65;3;6;gut
DENI062;"'02.10.2024 23:00'";9;57;4;6;"sehr gut"
DENI062;"'02.10.2024 24:00'";9;48;6;6;"sehr gut"
DENI062;"'03.10.2024 01:00'";9;51;4;5;"sehr gut"
DENI062;"'03.10.2024 02:00'";8;46;5;5;"sehr gut"
DENI062;"'03.10.2024 03:00'";8;44;6;5;"sehr gut"
DENI062;"'03.10.2024 04:00'";7;46;5;4;"sehr gut"
DENI062;"'03.10.2024 05:00'";7;43;6;4;"sehr gut"
DENI062;"'03.10.2024 06:00'";6;-;-;3;"sehr gut"
DENI062;"'03.10.2024 07:00'";6;45;5;3;"sehr gut"
DENI062;"'03.10.2024 08:00'";6;44;7;3;"sehr gut"
DENI062;"'03.10.2024 09:00'";6;44;6;3;"sehr gut"
DENI062;"'03.10.2024 10:00'";6;44;6;3;"sehr gut"
DENI062;"'03.10.2024 11:00'";5;55;3;2;"sehr gut"
DENI062;"'03.10.2024 12:00'";5;60;3;2;"sehr gut"
DENI062;"'03.10.2024 13:00'";5;61;3;2;gut
DENI062;"'03.10.2024 14:00'";5;61;3;2;gut
DENI062;"'03.10.2024 15:00'";5;67;3;2;gut
DENI062;"'03.10.2024 16:00'";6;66;3;2;gut
DENI062;"'03.10.2024 17:00'";6;63;3;2;gut
DENI062;"'03.10.2024 18:00'";6;62;4;2;gut
DENI062;"'03.10.2024 19:00'";6;65;4;3;gut
DENI062;"'03.10.2024 20:00'";6;67;4;3;gut
DENI062;"'03.10.2024 21:00'";6;60;5;3;"sehr gut"
DENI062;"'03.10.2024 22:00'";6;57;3;3;"sehr gut"
DENI062;"'03.10.2024 23:00'";6;51;6;3;"sehr gut"
DENI062;"'03.10.2024 24:00'";7;47;9;3;"sehr gut"
DENI062;"'04.10.2024 01:00'";7;42;9;3;"sehr gut"
DENI062;"'04.10.2024 02:00'";7;39;9;3;"sehr gut"
DENI062;"'04.10.2024 03:00'";7;37;9;3;"sehr gut"
DENI062;"'04.10.2024 04:00'";7;34;9;3;"sehr gut"
DENI062;"'04.10.2024 05:00'";7;21;16;3;"sehr gut"
DENI062;"'04.10.2024 06:00'";7;19;17;3;"sehr gut"
DENI062;"'04.10.2024 07:00'";7;4;31;3;gut
DENI062;"'04.10.2024 08:00'";8;4;29;4;gut
DENI062;"'04.10.2024 09:00'";8;14;22;4;gut
DENI062;"'04.10.2024 10:00'";8;25;12;4;"sehr gut"
DENI062;"'04.10.2024 11:00'";8;37;8;4;"sehr gut"
DENI062;"'04.10.2024 12:00'";8;59;4;4;"sehr gut"
DENI062;"'04.10.2024 13:00'";8;68;3;4;gut
DENI062;"'04.10.2024 14:00'";8;71;2;4;gut
DENI062;"'04.10.2024 15:00'";8;74;2;4;gut
DENI062;"'04.10.2024 16:00'";8;74;2;4;gut
DENI062;"'04.10.2024 17:00'";8;74;2;4;gut
DENI062;"'04.10.2024 18:00'";7;73;2;4;gut
DENI062;"'04.10.2024 19:00'";7;68;3;4;gut
DENI062;"'04.10.2024 20:00'";7;61;4;4;gut
DENI062;"'04.10.2024 21:00'";7;52;7;4;"sehr gut"
DENI062;"'04.10.2024 22:00'";7;58;5;4;"sehr gut"
DENI062;"'04.10.2024 23:00'";7;49;5;4;"sehr gut"
DENI062;"'04.10.2024 24:00'";7;-;-;4;"sehr gut"
DENI062;"'05.10.2024 01:00'";7;20;18;4;"sehr gut"
DENI062;"'05.10.2024 02:00'";7;14;17;4;"sehr gut"
DENI062;"'05.10.2024 03:00'";7;8;19;4;"sehr gut"
DENI062;"'05.10.2024 04:00'";7;4;20;4;"sehr gut"
DENI062;"'05.10.2024 05:00'";7;7;14;4;"sehr gut"
DENI062;"'05.10.2024 06:00'";7;11;14;4;"sehr gut"
DENI062;"'05.10.2024 07:00'";7;15;12;4;"sehr gut"
DENI062;"'05.10.2024 08:00'";7;7;16;4;"sehr gut"
DENI062;"'05.10.2024 09:00'";7;6;21;4;gut
DENI062;"'05.10.2024 10:00'";7;13;15;4;"sehr gut"
DENI062;"'05.10.2024 11:00'";7;32;7;4;"sehr gut"
DENI062;"'05.10.2024 12:00'";7;51;6;4;"sehr gut"
DENI062;"'05.10.2024 13:00'";7;68;3;5;gut
DENI062;"'05.10.2024 14:00'";7;72;2;5;gut
DENI062;"'05.10.2024 15:00'";7;74;2;5;gut
DENI062;"'05.10.2024 16:00'";7;76;2;5;gut
DENI062;"'05.10.2024 17:00'";7;70;3;5;gut
DENI062;"'05.10.2024 18:00'";7;69;3;5;gut
DENI062;"'05.10.2024 19:00'";7;58;8;5;"sehr gut"
DENI062;"'05.10.2024 20:00'";7;39;14;5;"sehr gut"
DENI062;"'05.10.2024 21:00'";7;33;11;5;"sehr gut"
DENI062;"'05.10.2024 22:00'";7;20;16;5;"sehr gut"
DENI062;"'05.10.2024 23:00'";7;18;12;5;"sehr gut"
DENI062;"'05.10.2024 24:00'";7;17;7;5;"sehr gut"
DENI062;"'06.10.2024 01:00'";7;-;-;5;"sehr gut"
DENI062;"'06.10.2024 02:00'";7;6;16;5;"sehr gut"
DENI062;"'06.10.2024 03:00'";7;3;11;5;"sehr gut"
DENI062;"'06.10.2024 04:00'";7;6;9;5;"sehr gut"
DENI062;"'06.10.2024 05:00'";7;4;12;5;"sehr gut"
DENI062;"'06.10.2024 06:00'";7;8;7;4;"sehr gut"
DENI062;"'06.10.2024 07:00'";8;23;5;5;"sehr gut"
DENI062;"'06.10.2024 08:00'";8;18;8;5;"sehr gut"
DENI062;"'06.10.2024 09:00'";8;18;7;5;"sehr gut"
DENI062;"'06.10.2024 10:00'";8;35;6;5;"sehr gut"
DENI062;"'06.10.2024 11:00'";8;50;4;5;"sehr gut"
DENI062;"'06.10.2024 12:00'";8;63;3;5;gut
DENI062;"'06.10.2024 13:00'";8;71;2;5;gut
DENI062;"'06.10.2024 14:00'";9;71;2;5;gut
DENI062;"'06.10.2024 15:00'";9;69;2;5;gut
DENI062;"'06.10.2024 16:00'";9;69;2;5;gut
DENI062;"'06.10.2024 17:00'";9;68;3;5;gut
DENI062;"'06.10.2024 18:00'";9;65;3;5;gut
DENI062;"'06.10.2024 19:00'";9;52;6;5;"sehr gut"
DENI062;"'06.10.2024 20:00'";9;45;8;5;"sehr gut"
DENI062;"'06.10.2024 21:00'";9;44;6;6;"sehr gut"
DENI062;"'06.10.2024 22:00'";9;44;6;6;"sehr gut"
DENI062;"'06.10.2024 23:00'";9;41;5;6;"sehr gut"
DENI062;"'06.10.2024 24:00'";10;39;4;6;"sehr gut"
DENI062;"'07.10.2024 01:00'";10;37;4;6;"sehr gut"
DENI062;"'07.10.2024 02:00'";10;-;-;6;"sehr gut"
DENI062;"'07.10.2024 03:00'";10;34;5;7;"sehr gut"
DENI062;"'07.10.2024 04:00'";10;33;5;7;"sehr gut"
DENI062;"'07.10.2024 05:00'";11;31;5;7;"sehr gut"
DENI062;"'07.10.2024 06:00'";11;27;7;7;"sehr gut"
DENI062;"'07.10.2024 07:00'";11;24;8;7;"sehr gut"
DENI062;"'07.10.2024 08:00'";10;21;10;7;"sehr gut"
DENI062;"'07.10.2024 09:00'";11;18;11;7;"sehr gut"
DENI062;"'07.10.2024 10:00'";11;18;11;7;"sehr gut"
DENI062;"'07.10.2024 11:00'";11;16;11;8;"sehr gut"
DENI062;"'07.10.2024 12:00'";11;18;9;8;"sehr gut"
DENI062;"'07.10.2024 13:00'";12;19;9;8;"sehr gut"
DENI062;"'07.10.2024 14:00'";12;21;9;8;"sehr gut"
DENI062;"'07.10.2024 15:00'";12;31;9;8;"sehr gut"
DENI062;"'07.10.2024 16:00'";12;48;8;8;"sehr gut"
DENI062;"'07.10.2024 17:00'";12;50;9;8;"sehr gut"
DENI062;"'07.10.2024 18:00'";12;42;14;8;"sehr gut"
DENI062;"'07.10.2024 19:00'";12;14;35;8;gut
DENI062;"'07.10.2024 20:00'";12;17;29;8;gut
DENI062;"'07.10.2024 21:00'";12;19;19;8;"sehr gut"
DENI062;"'07.10.2024 22:00'";12;16;16;8;"sehr gut"
DENI062;"'07.10.2024 23:00'";12;11;16;8;"sehr gut"
DENI062;"'07.10.2024 24:00'";12;15;11;8;"sehr gut"
DENI062;"'08.10.2024 01:00'";11;13;12;8;"sehr gut"
DENI062;"'08.10.2024 02:00'";11;17;9;8;"sehr gut"
DENI062;"'08.10.2024 03:00'";11;-;-;7;"sehr gut"
DENI062;"'08.10.2024 04:00'";11;18;9;7;"sehr gut"
DENI062;"'08.10.2024 05:00'";11;15;10;7;"sehr gut"
DENI062;"'08.10.2024 06:00'";10;16;10;7;"sehr gut"
DENI062;"'08.10.2024 07:00'";10;15;11;7;"sehr gut"
DENI062;"'08.10.2024 08:00'";10;15;10;6;"sehr gut"
DENI062;"'08.10.2024 09:00'";10;14;10;6;"sehr gut"
DENI062;"'08.10.2024 10:00'";9;14;10;6;"sehr gut"
DENI062;"'08.10.2024 11:00'";9;16;9;6;"sehr gut"
DENI062;"'08.10.2024 12:00'";9;19;9;6;"sehr gut"
DENI062;"'08.10.2024 13:00'";9;29;8;5;"sehr gut"
DENI062;"'08.10.2024 14:00'";9;34;7;5;"sehr gut"
DENI062;"'08.10.2024 15:00'";9;39;8;5;"sehr gut"
DENI062;"'08.10.2024 16:00'";9;44;11;5;"sehr gut"
DENI062;"'08.10.2024 17:00'";9;40;14;5;"sehr gut"
DENI062;"'08.10.2024 18:00'";9;30;15;5;"sehr gut"
DENI062;"'08.10.2024 19:00'";9;32;10;5;"sehr gut"
DENI062;"'08.10.2024 20:00'";9;34;7;5;"sehr gut"
DENI062;"'08.10.2024 21:00'";9;31;8;5;"sehr gut"
DENI062;"'08.10.2024 22:00'";9;29;8;5;"sehr gut"
DENI062;"'08.10.2024 23:00'";9;28;8;5;"sehr gut"
DENI062;"'08.10.2024 24:00'";9;28;6;5;"sehr gut"
DENI062;"'09.10.2024 01:00'";9;25;6;5;"sehr gut"
DENI062;"'09.10.2024 02:00'";9;23;6;5;"sehr gut"
DENI062;"'09.10.2024 03:00'";9;22;5;5;"sehr gut"
DENI062;"'09.10.2024 04:00'";9;-;-;5;"sehr gut"
DENI062;"'09.10.2024 05:00'";9;17;7;5;"sehr gut"
DENI062;"'09.10.2024 06:00'";9;16;11;5;"sehr gut"
DENI062;"'09.10.2024 07:00'";9;15;13;5;"sehr gut"
DENI062;"'09.10.2024 08:00'";10;17;13;5;"sehr gut"
DENI062;"'09.10.2024 09:00'";10;22;11;5;"sehr gut"
DENI062;"'09.10.2024 10:00'";10;25;10;5;"sehr gut"
DENI062;"'09.10.2024 11:00'";10;32;9;5;"sehr gut"
DENI062;"'09.10.2024 12:00'";10;34;9;4;"sehr gut"
DENI062;"'09.10.2024 13:00'";10;37;8;4;"sehr gut"
DENI062;"'09.10.2024 14:00'";10;38;9;5;"sehr gut"
DENI062;"'09.10.2024 15:00'";10;41;8;4;"sehr gut"
DENI062;"'09.10.2024 16:00'";10;44;8;4;"sehr gut"
DENI062;"'09.10.2024 17:00'";9;42;11;4;"sehr gut"
DENI062;"'09.10.2024 18:00'";9;42;11;4;"sehr gut"
DENI062;"'09.10.2024 19:00'";9;42;11;4;"sehr gut"
DENI062;"'09.10.2024 20:00'";9;47;7;4;"sehr gut"
DENI062;"'09.10.2024 21:00'";9;49;4;4;"sehr gut"
DENI062;"'09.10.2024 22:00'";9;51;5;4;"sehr gut"
DENI062;"'09.10.2024 23:00'";9;51;4;4;"sehr gut"
DENI062;"'09.10.2024 24:00'";9;49;4;4;"sehr gut"
DENI062;"'10.10.2024 01:00'";9;45;5;4;"sehr gut"
DENI062;"'10.10.2024 02:00'";8;45;4;4;"sehr gut"
DENI062;"'10.10.2024 03:00'";8;48;3;4;"sehr gut"
DENI062;"'10.10.2024 04:00'";8;46;4;4;"sehr gut"
DENI062;"'10.10.2024 05:00'";8;-;-;4;"sehr gut"
DENI062;"'10.10.2024 06:00'";8;35;11;3;"sehr gut"
DENI062;"'10.10.2024 07:00'";7;30;13;3;"sehr gut"
DENI062;"'10.10.2024 08:00'";7;25;16;3;"sehr gut"
DENI062;"'10.10.2024 09:00'";7;51;11;3;"sehr gut"
DENI062;"'10.10.2024 10:00'";6;60;9;3;"sehr gut"
DENI062;"'10.10.2024 11:00'";6;64;7;3;gut
DENI062;"'10.10.2024 12:00'";6;60;7;3;"sehr gut"
DENI062;"'10.10.2024 13:00'";6;55;8;3;"sehr gut"
DENI062;"'10.10.2024 14:00'";6;51;7;3;"sehr gut"
DENI062;"'10.10.2024 15:00'";6;60;6;3;"sehr gut"
DENI062;"'10.10.2024 16:00'";6;65;5;3;gut
DENI062;"'10.10.2024 17:00'";6;73;4;3;gut
DENI062;"'10.10.2024 18:00'";7;69;6;3;gut
DENI062;"'10.10.2024 19:00'";7;70;5;3;gut
DENI062;"'10.10.2024 20:00'";7;67;7;3;gut
DENI062;"'10.10.2024 21:00'";8;63;7;3;gut
DENI062;"'10.10.2024 22:00'";8;66;6;4;gut
DENI062;"'10.10.2024 23:00'";8;65;5;4;gut
DENI062;"'10.10.2024 24:00'";9;65;4;4;gut
DENI062;"'11.10.2024 01:00'";9;59;5;4;"sehr gut"
DENI062;"'11.10.2024 02:00'";9;55;5;4;"sehr gut"
DENI062;"'11.10.2024 03:00'";9;51;7;4;"sehr gut"
DENI062;"'11.10.2024 04:00'";9;52;6;4;"sehr gut"
DENI062;"'11.10.2024 05:00'";9;50;7;4;"sehr gut"
DENI062;"'11.10.2024 06:00'";9;-;-;4;"sehr gut"
DENI062;"'11.10.2024 07:00'";9;40;12;4;"sehr gut"
DENI062;"'11.10.2024 08:00'";10;40;13;4;"sehr gut"
DENI062;"'11.10.2024 09:00'";10;40;13;4;"sehr gut"
DENI062;"'11.10.2024 10:00'";10;50;9;4;"sehr gut"
DENI062;"'11.10.2024 11:00'";10;56;8;4;"sehr gut"
DENI062;"'11.10.2024 12:00'";10;64;7;5;gut
DENI062;"'11.10.2024 13:00'";10;68;6;5;gut
DENI062;"'11.10.2024 14:00'";10;70;5;5;gut
DENI062;"'11.10.2024 15:00'";10;69;6;5;gut
DENI062;"'11.10.2024 16:00'";10;67;7;5;gut
DENI062;"'11.10.2024 17:00'";10;65;7;4;gut
DENI062;"'11.10.2024 18:00'";10;61;10;4;gut
DENI062;"'11.10.2024 19:00'";9;43;18;4;"sehr gut"
DENI062;"'11.10.2024 20:00'";9;24;27;4;gut
DENI062;"'11.10.2024 21:00'";9;31;17;4;"sehr gut"
DENI062;"'11.10.2024 22:00'";8;36;13;4;"sehr gut"
DENI062;"'11.10.2024 23:00'";8;28;15;4;"sehr gut"
DENI062;"'11.10.2024 24:00'";8;24;12;4;"sehr gut"
DENI062;"'12.10.2024 01:00'";8;27;10;4;"sehr gut"
DENI062;"'12.10.2024 02:00'";8;26;8;4;"sehr gut"
DENI062;"'12.10.2024 03:00'";8;18;12;3;"sehr gut"
DENI062;"'12.10.2024 04:00'";8;18;8;3;"sehr gut"
DENI062;"'12.10.2024 05:00'";8;17;7;3;"sehr gut"
DENI062;"'12.10.2024 06:00'";8;17;9;4;"sehr gut"
DENI062;"'12.10.2024 07:00'";8;17;12;4;"sehr gut"
DENI062;"'12.10.2024 08:00'";8;17;14;4;"sehr gut"
DENI062;"'12.10.2024 09:00'";8;19;15;4;"sehr gut"
DENI062;"'12.10.2024 10:00'";8;30;11;4;"sehr gut"
DENI062;"'12.10.2024 11:00'";8;43;11;4;"sehr gut"
DENI062;"'12.10.2024 12:00'";8;56;6;4;"sehr gut"
DENI062;"'12.10.2024 13:00'";8;67;5;4;gut
DENI062;"'12.10.2024 14:00'";8;71;5;4;gut
DENI062;"'12.10.2024 15:00'";8;68;6;4;gut
DENI062;"'12.10.2024 16:00'";8;66;7;4;gut
DENI062;"'12.10.2024 17:00'";8;63;6;4;gut
DENI062;"'12.10.2024 18:00'";8;60;6;4;"sehr gut"
DENI062;"'12.10.2024 19:00'";9;57;6;4;"sehr gut"
DENI062;"'12.10.2024 20:00'";9;56;6;4;"sehr gut"
DENI062;"'12.10.2024 21:00'";9;58;5;4;"sehr gut"
DENI062;"'12.10.2024 22:00'";9;64;4;4;gut
DENI062;"'12.10.2024 23:00'";9;61;4;4;gut
DENI062;"'12.10.2024 24:00'";9;-;-;4;"sehr gut"
DENI062;"'13.10.2024 01:00'";9;47;6;4;"sehr gut"
DENI062;"'13.10.2024 02:00'";9;42;7;5;"sehr gut"
DENI062;"'13.10.2024 03:00'";9;37;7;5;"sehr gut"
DENI062;"'13.10.2024 04:00'";9;36;5;5;"sehr gut"
DENI062;"'13.10.2024 05:00'";9;49;4;5;"sehr gut"
DENI062;"'13.10.2024 06:00'";8;69;3;4;gut
DENI062;"'13.10.2024 07:00'";8;68;4;4;gut
DENI062;"'13.10.2024 08:00'";8;62;3;4;gut
DENI062;"'13.10.2024 09:00'";8;62;3;4;gut
DENI062;"'13.10.2024 10:00'";8;64;3;4;gut
DENI062;"'13.10.2024 11:00'";8;66;3;4;gut
DENI062;"'13.10.2024 12:00'";8;69;3;4;gut
DENI062;"'13.10.2024 13:00'";7;73;3;4;gut
DENI062;"'13.10.2024 14:00'";7;72;3;4;gut
DENI062;"'13.10.2024 15:00'";7;73;4;4;gut
DENI062;"'13.10.2024 16:00'";7;72;3;4;gut
DENI062;"'13.10.2024 17:00'";7;71;3;4;gut
DENI062;"'13.10.2024 18:00'";7;67;4;4;gut
DENI062;"'13.10.2024 19:00'";7;69;3;4;gut
DENI062;"'13.10.2024 20:00'";7;67;4;4;gut
DENI062;"'13.10.2024 21:00'";7;65;5;4;gut
DENI062;"'13.10.2024 22:00'";8;65;3;4;gut
DENI062;"'13.10.2024 23:00'";8;66;3;4;gut
DENI062;"'13.10.2024 24:00'";8;64;3;4;gut
DENI062;"'14.10.2024 01:00'";8;-;-;4;"sehr gut"
DENI062;"'14.10.2024 02:00'";8;62;4;4;gut
DENI062;"'14.10.2024 03:00'";8;59;4;4;"sehr gut"
DENI062;"'14.10.2024 04:00'";8;57;4;4;"sehr gut"
DENI062;"'14.10.2024 05:00'";9;55;5;4;"sehr gut"
DENI062;"'14.10.2024 06:00'";9;53;6;4;"sehr gut"
DENI062;"'14.10.2024 07:00'";9;51;8;4;"sehr gut"
DENI062;"'14.10.2024 08:00'";10;47;13;5;"sehr gut"
DENI062;"'14.10.2024 09:00'";10;46;12;5;"sehr gut"
DENI062;"'14.10.2024 10:00'";10;43;13;5;"sehr gut"
DENI062;"'14.10.2024 11:00'";10;45;11;5;"sehr gut"
DENI062;"'14.10.2024 12:00'";11;47;10;5;"sehr gut"
DENI062;"'14.10.2024 13:00'";11;51;9;5;"sehr gut"
DENI062;"'14.10.2024 14:00'";11;59;7;5;"sehr gut"
DENI062;"'14.10.2024 15:00'";11;59;7;5;"sehr gut"
DENI062;"'14.10.2024 16:00'";12;55;10;5;"sehr gut"
DENI062;"'14.10.2024 17:00'";12;51;14;5;"sehr gut"
DENI062;"'14.10.2024 18:00'";12;44;17;5;"sehr gut"
DENI062;"'14.10.2024 19:00'";12;35;22;5;gut
DENI062;"'14.10.2024 20:00'";13;17;33;5;gut
DENI062;"'14.10.2024 21:00'";13;13;33;5;gut
DENI062;"'14.10.2024 22:00'";13;25;26;5;gut
DENI062;"'14.10.2024 23:00'";13;26;23;5;gut
DENI062;"'14.10.2024 24:00'";13;20;25;5;gut
DENI062;"'15.10.2024 01:00'";13;25;26;5;gut
DENI062;"'15.10.2024 02:00'";12;-;-;5;"sehr gut"
DENI062;"'15.10.2024 03:00'";12;16;33;5;gut
DENI062;"'15.10.2024 04:00'";12;13;27;5;gut
DENI062;"'15.10.2024 05:00'";12;8;22;5;gut
DENI062;"'15.10.2024 06:00'";12;2;26;5;gut
DENI062;"'15.10.2024 07:00'";12;2;22;6;gut
DENI062;"'15.10.2024 08:00'";13;2;21;6;gut
DENI062;"'15.10.2024 09:00'";13;2;25;6;gut
DENI062;"'15.10.2024 10:00'";14;5;22;6;gut
DENI062;"'15.10.2024 11:00'";14;30;18;6;"sehr gut"
DENI062;"'15.10.2024 12:00'";14;-;-;6;"sehr gut"
DENI062;"'15.10.2024 13:00'";14;-;-;6;"sehr gut"
DENI062;"'15.10.2024 14:00'";14;-;-;6;"sehr gut"
DENI062;"'15.10.2024 15:00'";14;-;-;6;"sehr gut"
DENI062;"'15.10.2024 16:00'";14;-;-;6;"sehr gut"
DENI062;"'15.10.2024 17:00'";14;-;-;7;"sehr gut"
DENI062;"'15.10.2024 18:00'";-;-;-;-;;
DENI062;"'15.10.2024 19:00'";-;-;-;-;;
DENI062;"'15.10.2024 20:00'";-;-;-;-;;
DENI062;"'15.10.2024 21:00'";-;-;-;-;;
DENI062;"'15.10.2024 22:00'";-;-;-;-;;
DENI062;"'15.10.2024 23:00'";-;-;-;-;;
DENI062;"'15.10.2024 24:00'";-;-;-;-;;
DENI062;"'16.10.2024 01:00'";-;-;-;-;;
DENI062;"'16.10.2024 02:00'";-;-;-;-;;
DENI062;"'16.10.2024 03:00'";-;-;-;-;;
DENI062;"'16.10.2024 04:00'";-;-;-;-;;
DENI062;"'16.10.2024 05:00'";-;-;-;-;;
DENI062;"'16.10.2024 06:00'";-;-;-;-;;
DENI062;"'16.10.2024 07:00'";-;-;-;-;;
DENI062;"'16.10.2024 08:00'";-;-;-;-;;
DENI062;"'16.10.2024 09:00'";-;-;-;-;;
DENI062;"'16.10.2024 10:00'";-;-;-;-;;
DENI062;"'16.10.2024 11:00'";-;-;-;-;;
DENI062;"'16.10.2024 12:00'";-;-;-;-;;
DENI062;"'16.10.2024 13:00'";-;60;6;-;"sehr gut"
DENI062;"'16.10.2024 14:00'";-;64;6;-;gut
DENI062;"'16.10.2024 15:00'";-;69;6;-;gut
DENI062;"'16.10.2024 16:00'";-;71;7;-;gut
DENI062;"'16.10.2024 17:00'";-;71;7;-;gut
DENI062;"'16.10.2024 18:00'";-;69;7;-;gut
DENI062;"'16.10.2024 19:00'";-;64;8;-;gut
DENI062;"'16.10.2024 20:00'";-;64;7;-;gut
DENI062;"'16.10.2024 21:00'";-;64;7;-;gut
DENI062;"'16.10.2024 22:00'";-;63;7;-;gut
DENI062;"'16.10.2024 23:00'";-;62;6;-;gut
DENI062;"'16.10.2024 24:00'";-;-;-;-;;
DENI062;"'17.10.2024 01:00'";-;53;6;-;"sehr gut"
DENI062;"'17.10.2024 02:00'";-;51;6;-;"sehr gut"
DENI062;"'17.10.2024 03:00'";-;48;6;-;"sehr gut"
DENI062;"'17.10.2024 04:00'";-;48;5;-;"sehr gut"
DENI062;"'17.10.2024 05:00'";-;48;5;-;"sehr gut"
DENI062;"'17.10.2024 06:00'";13;47;6;8;"sehr gut"
DENI062;"'17.10.2024 07:00'";13;44;7;8;"sehr gut"
DENI062;"'17.10.2024 08:00'";13;41;9;8;"sehr gut"
DENI062;"'17.10.2024 09:00'";13;41;9;8;"sehr gut"
DENI062;"'17.10.2024 10:00'";13;41;8;8;"sehr gut"
DENI062;"'17.10.2024 11:00'";13;40;7;8;"sehr gut"
DENI062;"'17.10.2024 12:00'";13;41;8;8;"sehr gut"
DENI062;"'17.10.2024 13:00'";13;39;8;8;"sehr gut"
DENI062;"'17.10.2024 14:00'";14;37;9;8;"sehr gut"
DENI062;"'17.10.2024 15:00'";14;35;11;8;"sehr gut"
